asset_id,asset_name,department,asset_type,owner_role,location,criticality,internet_exposed,cloud_or_onprem,business_value,base_score
AST-0001,Server_1,IT,Server,IT Admin,London,High,Yes,On-Prem,77,61.6
AST-0002,IoT Device_2,IT,IoT Device,IT Admin,Singapore,Critical,No,On-Prem,88,88.0
AST-0003,Server_3,Finance,Server,Finance Admin,Dublin,Critical,Yes,On-Prem,76,76.0
AST-0004,Mobile Device_4,Finance,Mobile Device,Finance Admin,On-Prem,Critical,No,On-Prem,92,92.0
AST-0005,Workstation_5,Legal,Workstation,Legal Admin,New York,Low,No,On-Prem,45,9.0
AST-0006,IoT Device_6,HR,IoT Device,HR Admin,Tokyo,Low,No,On-Prem,53,10.600000000000001
AST-0007,Workstation_7,HR,Workstation,HR Admin,New York,Medium,No,On-Prem,23,11.5
AST-0008,Server_8,Legal,Server,Legal Admin,New York,Medium,No,On-Prem,54,27.0
AST-0009,Mobile Device_9,R&D,Mobile Device,R&D Admin,New York,Critical,No,On-Prem,58,58.0
AST-0010,Network Switch_10,Marketing,Network Switch,Marketing Admin,On-Prem,Medium,No,On-Prem,34,17.0
AST-0011,Server_11,IT,Server,IT Admin,New York,Critical,No,On-Prem,94,94.0
AST-0012,Network Switch_12,Sales,Network Switch,Sales Admin,Tokyo,Critical,No,On-Prem,58,58.0
AST-0013,IoT Device_13,R&D,IoT Device,R&D Admin,Tokyo,Medium,No,On-Prem,30,15.0
AST-0014,Workstation_14,Operations,Workstation,Operations Admin,Dublin,Medium,No,On-Prem,19,9.5
AST-0015,Mobile Device_15,HR,Mobile Device,HR Admin,Singapore,High,No,On-Prem,30,24.0
AST-0016,Database_16,Legal,Database,Legal Admin,London,High,Yes,On-Prem,51,40.800000000000004
AST-0017,Network Switch_17,Finance,Network Switch,Finance Admin,Tokyo,High,No,On-Prem,82,65.60000000000001
AST-0018,Workstation_18,IT,Workstation,IT Admin,On-Prem,High,No,On-Prem,76,60.800000000000004
AST-0019,Cloud Instance_19,R&D,Cloud Instance,R&D Admin,London,Low,No,Cloud,28,5.6000000000000005
AST-0020,IoT Device_20,Sales,IoT Device,Sales Admin,Dublin,Medium,No,On-Prem,64,32.0
AST-0021,Database_21,Legal,Database,Legal Admin,New York,High,No,On-Prem,27,21.6
AST-0022,Network Switch_22,Finance,Network Switch,Finance Admin,On-Prem,Critical,No,On-Prem,74,74.0
